ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
232,University of Vermont,University of Vermont,Yes,,4/28/2024,https://vtdigger.org/2024/04/28/pro-palestinian-protest-encampments-spring-up-at-the-university-of-vermont-middlebury-college/,,https://x.com/ReneeLevant/status/1784756877089288529,,,No,,,,,No,182,Yellow,matched_to_cfsr2025,0,,,,
233,University of Virginia-Main Campus,University of Virginia,Yes,,5/1/2024,"https://cvillerightnow.com/news/208802-uva-issues-statement-on-attempted-encampment/#:~:text=Earlier%20this%C2%A0afternoon,of%20University%20activities.",https://cvillerightnow.com/news/208802-pro-palestine-protest-escalating-over-encampment-at-uva/,,,,Yes,27.0,https://wset.com/news/local/uva-protests-result-in-27-arrests-administration-addresses-concerns-in-virtual-town-hall-may-2024,Yes,5/4/24,Yes,6,Green,matched_to_cfsr2025,1,,,,reviewed_ok
234,University of Washington-Seattle Campus,University of Washington,Yes,,4/29/2024,https://nypost.com/2024/04/26/us-news/university-of-washington-students-postpone-anti-israel-encampment-over-lack-of-diversity/,https://twitter.com/schwaarzy/status/1783900063263297766,https://twitter.com/schwaarzy/status/1784963604829319316,,,No,,,,,No,178,Red,matched_to_cfsr2025,1,,,,reviewed_ok
235,University of Wisconsin-Eau Claire,"University of Wisconsin, Eau Claire",No,,,,,,,,No,,,,,Not Applicable,201,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
236,University of Wisconsin-Madison,"University of Wisconsin, Madison",Yes,,4/2/2024,https://www.dailycardinal.com/article/2024/04/live-updates-uw-madison-students-for-justice-in-palestine-holds-rally-calling-for-divestment-from-israel,https://wtmj.com/news/2024/04/26/failing-to-abide-by-these-limitations-can-and-will-have-consequences-uw-madison-sends-email-regarding-nationwide-protests/,https://madison.com/news/local/palestine-protesters-uw-madison-police/article_d441cdd0-07b2-11ef-9d0a-4f3ceb9067e5.html,,,Yes,34.0,"https://www.jsonline.com/story/news/education/2024/05/02/police-arrest-dozens-of-protesters-at-university-of-wisconsin-madison/73518209007/#:~:text=Police%20swarmed%20a%20University%20of,than%20a%20dozen%20new%20ones.",,5/1/24,Yes,60,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
237,University of Wisconsin-Milwaukee,"University of Wisconsin, Milwaukee",Yes,,4/29/2024,https://www.wisn.com/article/wisconsin-university-milwaukee-madison-protest-encampment-pro-palestine/60639169,,,,"7 arrested for disrupting regents meeting, but not for encampment",No,,,,,No,99,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
238,University of Wyoming,University of Wyoming,No,,,,,,,,No,,,,,Not Applicable,117,Red,matched_to_cfsr2025,0,,,,
239,Utah State University,Utah State University,No,,,,,,,,No,,,,,Not Applicable,129,Red,matched_to_cfsr2025,0,,,,
240,Vanderbilt University,Vanderbilt University,Yes,,3/26/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/p/C6CT8rjOIpG/?igsh=aXV3ZnN0amdic2Y0,,Arrests occured associated with a protest,No,,,,,No,89,Yellow,matched_to_cfsr2025,0,,,,
241,Vassar College,Vassar College,Yes,,4/30/2024,https://hudsonvalley.news12.com/pro-palestinian-protesters-at-vassar-college-set-up-encampment-demand-divestment,,,,,No,,,,,No,196,Yellow,matched_to_cfsr2025,0,,,,
